locality,county_fips,state_name,cases
Accomack County,51001, Virginia,1
Albemarle County,51003, Virginia,2
Alexandria,51510, Virginia,5
Alleghany County,51005, Virginia,0
Amelia County,51007, Virginia,0
Amherst County,51009, Virginia,1
Appomattox County,51011, Virginia,0
Arlington County,51013, Virginia,26
Augusta County,51015, Virginia,0
Bath County,51017, Virginia,0
Bedford County,51019, Virginia,1
Bland County,51021, Virginia,0
Botetourt County,51023, Virginia,1
Bristol,51520, Virginia,0
Brunswick County,51025, Virginia,0
Buchanan County,51027, Virginia,0
Buckingham County,51029, Virginia,0
Buena Vista,51530, Virginia,0
Campbell County,51031, Virginia,0
Caroline County,51033, Virginia,0
Carroll County,51035, Virginia,0
Charles City County,51036, Virginia,1
Charlotte County,51037, Virginia,0
Charlottesville ,51540, Virginia,4
Chesapeake ,51550, Virginia,0
Chesterfield County,51041, Virginia,8
Clarke County,51043, Virginia,0
Colonial Heights ,51570, Virginia,0
Covington ,51580, Virginia,0
Craig County,51045, Virginia,0
Culpeper County,51047, Virginia,1
Cumberland County,51049, Virginia,0
Danville ,51590, Virginia,0
Dickenson County,51051, Virginia,0
Dinwiddie County,51053, Virginia,0
Emporia ,51595, Virginia,0
Essex County,51057, Virginia,0
Fairfax,51600, Virginia,0
Fairfax County,51059, Virginia,31
Falls Church ,51610, Virginia,0
Fauquier County,51061, Virginia,0
Floyd County,51063, Virginia,0
Fluvanna County,51065, Virginia,1
Franklin,51620, Virginia,0
Franklin County,51067, Virginia,1
Frederick County,51069, Virginia,0
Fredericksburg ,51630, Virginia,0
Galax ,51640, Virginia,0
Giles County,51071, Virginia,0
Gloucester County,51073, Virginia,2
Goochland County,51075, Virginia,2
Grayson County,51077, Virginia,0
Greene County,51079, Virginia,0
Greensville County,51081, Virginia,0
Halifax County,51083, Virginia,0
Hampton ,51650, Virginia,0
Hanover County,51085, Virginia,1
Harrisonburg ,51660, Virginia,1
Henrico County,51087, Virginia,8
Henry County,51089, Virginia,0
Highland County,51091, Virginia,0
Hopewell ,51670, Virginia,0
Isle of Wight County,51093, Virginia,1
James City County,51095, Virginia,32
King and Queen County,51097, Virginia,0
King George County,51099, Virginia,0
King William County,51101, Virginia,0
Lancaster County,51103, Virginia,0
Lee County,51105, Virginia,2
Lexington ,51678, Virginia,0
Loudoun County,51107, Virginia,15
Louisa County,51109, Virginia,1
Lunenburg County,51111, Virginia,0
Lynchburg ,51680, Virginia,0
Madison County,51113, Virginia,0
Manassas ,51683, Virginia,0
Manassas Park ,51685, Virginia,0
Martinsville ,51690, Virginia,0
Mathews County,51115, Virginia,0
Mecklenburg County,51117, Virginia,1
Middlesex County,51119, Virginia,0
Montgomery County,51121, Virginia,0
